symbol,strategy,score,reasons,time,interval,entry_price,SL,TP,result,open,high,low,close,volume,rsi,macd,macd_signal,macd_diff,adx,ema_short,ema_long,bb_width,volatility,atr,cci,parabolic_sar,vwap,wma,trix,bb_upper,bb_middle,bb_lower,ADX
BTCUSDT,strategy_candlestick,1,Engulfing שורי,13/11/2024 2:00,1d,90375.2,84884.51934,101356.5613,Still Open,87952,93265.64,86127.99,90375.2,86763.85413,91.18713199,5273.166948,3407.349872,1865.817077,35.93883571,83454.84721,74780.29623,21273.48876,7850.461642,3468.168766,123.5123545,73789.229,59257.47041,79959.03724,0.69564763,95441.27838,84804.534,74167.78962,
BTCUSDT,strategy_vwap_bounce,2,קפיצה מעל VWAP לאחר ירידה; נפח מסחר גבוה מהממוצע,07/02/2024 2:00,1d,44349.6,42551.16069,47946.47862,TP Hit,43098.96,44396.5,42788,44349.6,34392.59915,76.29350812,228.4702509,-14.16206831,242.6323192,11.77394795,43188.62881,42662.77729,2515.432519,509.3508987,1386.125338,232.7907896,40108.194,42815.59309,43009.38657,-0.032498653,44407.96026,43150.244,41892.52774,
BTCUSDT,strategy_vwap_bounce,2,קפיצה מעל VWAP לאחר ירידה; נפח מסחר גבוה מהממוצע,08/08/2024 3:00,1d,61685.99,56200.20531,72657.55939,Still Open,55133.76,62745.14,54730,61685.99,48349.52949,55.68037919,-1565.684712,-616.017736,-949.6669762,26.75882514,59087.64511,61958.52142,10826.87677,4364.748904,3502.468644,0.549356513,62882.66153,57231.50926,60175.93381,-0.085178821,62417.83238,57004.394,51590.95562,
BTCUSDT,strategy_vwap_bounce,2,קפיצה מעל VWAP לאחר ירידה; נפח מסחר גבוה מהממוצע,13/09/2024 3:00,1d,60498,57070.15538,67353.68923,Still Open,58132.31,60625,57632.62,60498,29825.23333,72.43102904,-669.3456349,-1021.262514,351.9168793,21.75688086,57949.54036,58395.54148,4951.761073,2027.233975,2457.776797,149.9613196,52670.76,57372.23338,57217.91229,-0.249740648,60605.14254,58129.262,55653.38146,
BTCUSDT,strategy_vwap_bounce,2,קפיצה מעל VWAP לאחר ירידה; נפח מסחר גבוה מהממוצע,17/09/2024 3:00,1d,60313.99,56760.47378,67421.02245,Still Open,58213.99,61320,57610.01,60313.99,33116.25878,63.91252039,-123.9851105,-580.3474596,456.362349,17.52348875,58972.04476,58675.14498,3397.008198,1738.222069,2380.401604,78.78016046,53869.09362,57388.47258,58347.39876,-0.15676035,61328.7061,59630.202,57931.6979,
BTCUSDT,strategy_vwap_bounce,2,קפיצה מעל VWAP לאחר ירידה; נפח מסחר גבוה מהממוצע,04/01/2024 14:00,4h,44051.1,42606.84337,46939.61327,SL Hit,43176.33,44329.99,43097.06,44051.1,11599.01023,60.37434808,42.42043459,203.7676644,-161.3472298,28.76905942,43454.55267,43542.56148,1833.366232,943.4824284,849.6426137,46.14216903,44728.00436,43269.23769,43563.15905,0.085974908,44104.38912,43187.706,42271.02288,
BTCUSDT,strategy_candlestick,1,תבנית Hammer,06/01/2024 22:00,4h,43968.32,42874.36503,46156.22995,TP Hit,43906.35,43980,43611.19,43968.32,2437.86928,58.14942104,87.22853371,83.11583382,4.112699886,18.79907969,43848.46721,43729.30254,509.7522362,196.9722631,699.6361076,31.25185631,41606.73702,43360.89907,43819.338,0.02510857,44068.27812,43813.402,43558.52588,
BTCUSDT,strategy_vwap_bounce,2,קפיצה מעל VWAP לאחר ירידה; נפח מסחר גבוה מהממוצע,08/01/2024 6:00,4h,43974.55,43217.24783,45489.15434,TP Hit,43518.2,44341.8,43430.79,43974.55,7157.43221,52.61588236,76.31740272,96.47621338,-20.15881067,12.70631763,43912.92232,43838.29638,952.7152645,186.3623716,653.1777979,-18.06665315,42072.78067,43402.25614,43938.412,0.028943004,44419.17963,43942.822,43466.46437,
BTCUSDT,strategy_breakout,2,פריצה כלפי מעלה; ווליום תומך בפריצה,08/01/2024 10:00,4h,44635.99,43850.85809,46206.25383,SL Hit,43974.55,44688,43641.73,44635.99,6636.26767,69.27441419,128.7727279,102.9355163,25.83721161,12.15711424,44093.68924,43899.65743,1479.359706,279.5172507,681.2558124,160.243052,42125.91665,43417.97535,44034.69895,0.030843515,44800.18585,44060.506,43320.82615,
BTCUSDT,strategy_breakout,2,פריצה כלפי מעלה; ווליום תומך בפריצה,08/01/2024 14:00,4h,44963.04,44120.58077,46647.95847,SL Hit,44636,45333,44350,44963.04,17212.53878,74.57748456,194.4921681,121.2468467,73.24532146,12.63928677,44311.02693,43981.45609,2087.17217,401.5388453,702.8089686,220.0029276,42177.98992,43467.4015,44167.87933,0.036164583,45247.74609,44204.16,43160.57391,
BTCUSDT,strategy_breakout,2,פריצה כלפי מעלה; ווליום תומך בפריצה,08/01/2024 18:00,4h,46979.35,45938.48798,49061.07403,SL Hit,44963.04,47248.99,44793.97,46979.35,24462.97732,88.83451687,404.6105652,177.9195904,226.6909749,14.93313166,44978.1077,44212.06331,4775.408604,974.8452462,827.9668994,237.1742106,42304.19032,43620.12759,44557.42638,0.052468832,47201.9303,44814.226,42426.5217,
BTCUSDT,strategy_candlestick,1,תבנית Hammer,16/01/2024 14:00,4h,43252.67,42324.92995,45108.1501,SL Hit,42900.55,43314.73,42050,43252.67,17967.98589,61.67672807,-387.9491187,-549.9541187,162.0049999,31.1231053,42888.14872,43227.10471,955.3144002,275.1603333,746.1571749,74.86640631,43332.85908,44250.70082,42768.93124,-0.201387777,43353.6572,42876,42398.3428,
BTCUSDT,strategy_candlestick,1,Engulfing שורי,18/01/2024 6:00,4h,42915.33,42167.37712,44411.23577,SL Hit,42592.04,42922,42589,42915.33,3393.11338,57.143346,-221.938702,-292.903186,70.96448401,33.25241634,42749.87734,42971.74887,608.9621459,230.3134396,570.8930167,17.21482864,42106.85859,44178.94946,42776.79914,-0.103141606,42979.95707,42675.476,42370.99493,
BTCUSDT,strategy_candlestick,1,Engulfing שורי,20/01/2024 18:00,4h,41632.96,40718.09079,43462.69842,SL Hit,41570.1,41684.94,41526.36,41632.96,2143.21383,49.25961953,-350.1242471,-405.1754508,55.05120374,37.2475894,41599.02339,41989.35695,128.7196967,259.0033507,551.2049886,41.47029025,42155.60638,43955.55206,41529.53895,-0.136998422,41678.25985,41613.9,41549.54015,
BTCUSDT,strategy_candlestick,1,Engulfing שורי,21/01/2024 10:00,4h,41719.89,41083.65092,42992.36816,SL Hit,41648.5,41826.97,41648.5,41719.89,1972.92769,54.46029184,-252.4290914,-331.7609233,79.33183188,32.60878192,41660.25365,41906.45757,125.9672861,46.74162823,452.1134485,117.062162,40280,43941.53725,41631.22381,-0.114718016,41738.62764,41675.644,41612.66036,
BTCUSDT,strategy_candlestick,1,תבנית Hammer,21/01/2024 18:00,4h,41719.4,41150.09138,42858.01724,SL Hit,41656.27,41729.77,41525,41719.4,2101.04396,54.43966945,-214.2405182,-292.8300867,78.58956846,30.05976628,41674.29518,41874.30444,120.9892689,51.59575487,422.7909327,1.509296104,40373.75742,43932.34801,41659.82105,-0.101720902,41745.47463,41684.98,41624.48537,
BTCUSDT,strategy_candlestick,1,Engulfing שורי,24/01/2024 22:00,4h,40084.88,38899.88911,42454.86179,TP Hit,39803.04,40175.11,39484.19,40084.88,5007.64168,54.26241499,-425.3051268,-524.7833721,99.47824529,34.66606152,39927.28307,40367.17409,534.9076383,464.8447476,655.2497593,39.6365761,38672.616,43470.86603,39796.40848,-0.188586377,40293.26782,40025.814,39758.36018,
BTCUSDT,strategy_breakout,2,פריצה כלפי מעלה; ווליום תומך בפריצה,26/01/2024 10:00,4h,41289.52,40441.10936,42986.34128,SL Hit,39970,41348.13,39962.14,41289.52,11523.32786,80.14799085,-103.9643747,-271.9237739,167.9593991,29.91764879,40316.78235,40281.76737,2073.540823,414.0909256,602.8416478,278.7029499,38985.56655,43360.28771,40178.77295,-0.101691722,41292.24441,40255.474,39218.70359,
